UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 16:22 ?        00:00:03 /sbin/init maybe-ubiquity
root         2     0  0 16:22 ?        00:00:00 [kthreadd]
root         3     2  0 16:22 ?        00:00:00 [kworker/0:0]
root         4     2  0 16:22 ?        00:00:00 [kworker/0:0H]
root         6     2  0 16:22 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 16:22 ?        00:00:00 [ksoftirqd/0]
root         8     2  0 16:22 ?        00:00:00 [rcu_sched]
root         9     2  0 16:22 ?        00:00:00 [rcu_bh]
root        10     2  0 16:22 ?        00:00:00 [migration/0]
root        11     2  0 16:22 ?        00:00:00 [watchdog/0]
root        12     2  0 16:22 ?        00:00:00 [cpuhp/0]
root        13     2  0 16:22 ?        00:00:00 [kdevtmpfs]
root        14     2  0 16:22 ?        00:00:00 [netns]
root        15     2  0 16:22 ?        00:00:00 [rcu_tasks_kthre]
root        16     2  0 16:22 ?        00:00:00 [kauditd]
root        17     2  0 16:22 ?        00:00:00 [xenbus]
root        18     2  0 16:22 ?        00:00:00 [xenwatch]
root        19     2  0 16:22 ?        00:00:00 [kworker/0:1]
root        20     2  0 16:22 ?        00:00:00 [khungtaskd]
root        21     2  0 16:22 ?        00:00:00 [oom_reaper]
root        22     2  0 16:22 ?        00:00:00 [writeback]
root        23     2  0 16:22 ?        00:00:00 [kcompactd0]
root        24     2  0 16:22 ?        00:00:00 [ksmd]
root        25     2  0 16:22 ?        00:00:00 [khugepaged]
root        26     2  0 16:22 ?        00:00:00 [crypto]
root        27     2  0 16:22 ?        00:00:00 [kintegrityd]
root        28     2  0 16:22 ?        00:00:00 [kblockd]
root        29     2  0 16:22 ?        00:00:00 [ata_sff]
root        30     2  0 16:22 ?        00:00:00 [md]
root        31     2  0 16:22 ?        00:00:00 [edac-poller]
root        32     2  0 16:22 ?        00:00:00 [devfreq_wq]
root        33     2  0 16:22 ?        00:00:00 [watchdogd]
root        36     2  0 16:22 ?        00:00:00 [kswapd0]
root        37     2  0 16:22 ?        00:00:00 [kworker/u31:0]
root        38     2  0 16:22 ?        00:00:00 [ecryptfs-kthrea]
root        80     2  0 16:22 ?        00:00:00 [kthrotld]
root        81     2  0 16:22 ?        00:00:00 [acpi_thermal_pm]
root        82     2  0 16:22 ?        00:00:00 [scsi_eh_0]
root        83     2  0 16:22 ?        00:00:00 [scsi_tmf_0]
root        84     2  0 16:22 ?        00:00:00 [scsi_eh_1]
root        85     2  0 16:22 ?        00:00:00 [scsi_tmf_1]
root        87     2  0 16:22 ?        00:00:00 [kworker/u30:3]
root        91     2  0 16:22 ?        00:00:00 [ipv6_addrconf]
root       100     2  0 16:22 ?        00:00:00 [kstrp]
root       117     2  0 16:22 ?        00:00:00 [charger_manager]
root       182     2  0 16:22 ?        00:00:00 [ttm_swap]
root       203     2  0 16:22 ?        00:00:00 [kdmflush]
root       205     2  0 16:22 ?        00:00:00 [bioset]
root       282     2  0 16:22 ?        00:00:00 [raid5wq]
root       336     2  0 16:22 ?        00:00:00 [jbd2/dm-0-8]
root       337     2  0 16:22 ?        00:00:00 [ext4-rsv-conver]
root       411     1  0 16:22 ?        00:00:00 /lib/systemd/systemd-journald
root       414     2  0 16:22 ?        00:00:00 [iscsi_eh]
root       422     1  0 16:22 ?        00:00:00 /sbin/lvmetad -f
root       425     2  0 16:22 ?        00:00:00 [ib-comp-wq]
root       427     2  0 16:22 ?        00:00:00 [ib-comp-unb-wq]
root       428     2  0 16:22 ?        00:00:00 [ib_mcast]
root       429     2  0 16:22 ?        00:00:00 [ib_nl_sa_wq]
root       430     2  0 16:22 ?        00:00:00 [rdma_cm]
root       431     1  0 16:22 ?        00:00:00 /lib/systemd/systemd-udevd
root       436     2  0 16:22 ?        00:00:00 [kworker/0:1H]
